0 337 -787
1 88 -220
2 463 -956
3 389 -767
4 371 -697
5 244 -583
6 213 -334
7 574 -1241
8 134 -164
9 202 -419
10 191 -294
11 353 -678
12 112 -240
13 302 -480
14 324 -611
15 71 -111
16 165 -250
17 70 -65
18 151 -277
19 374 -613
20 398 -744
21 35 -14
22 60 -25
23 73 -132
24 252 -415
25 89 -158
26 90 -102
27 57 -64
28 149 -178
29 111 -127
30 64 -33
31 34 -3
32 200 -323
33 294 -438
34 249 -400
35 214 -279
36 66 -29
37 67 -51
38 190 -261
39 278 -428
40 369 -629
41 72 -96
42 260 -401
43 93 -87
44 84 -69
45 226 -295
46 64 -29
47 210 -357
48 107 -157
49 58 -23
50 24 17
51 273 -437
52 147 -197
53 153 -206
54 253 -337
55 162 -192
56 92 -89
57 53 -13
58 62 -36
59 113 -149
60 161 -212
61 180 -243
62 78 -62
63 105 -110
64 61 -39
65 184 -254
66 86 -48
67 13 44
68 68 -62
69 15 38
70 64 -24
71 18 32
72 27 25
73 34 6
74 14 42
75 159 -194
76 94 -86
77 17 40
78 47 2
79 19 32
80 65 -27
81 45 -11
82 108 -120
83 16 42
84 15 43
85 29 20
86 34 9
87 75 -67
88 21 37
89 58 -27
90 23 33
91 68 -59
92 88 -76
93 30 25
94 66 -47
95 120 -125
96 64 -23
97 57 -30
98 87 -66
99 55 -24
100 164 -178
101 138 -140
102 73 -55
103 90 -66
104 122 -120
105 71 -58
106 61 -24
107 116 -105
108 70 -35
109 33 18
110 218 -313
111 47 -29
112 68 -47
113 78 -57
114 57 -25
115 46 -21
116 29 22
117 14 44
118 79 -63
119 53 -4
120 30 24
121 89 -77
122 70 -49
123 29 27
124 113 -126
125 34 19
126 17 40
127 28 16
128 13 45
129 15 39
130 31 21
131 59 -5
132 8 50
133 22 33
134 11 46
135 30 17
136 24 30
137 26 29
138 20 38
139 28 26
140 92 -59
141 11 47
142 9 49
143 49 -12
144 147 -213
145 47 -6
146 74 -78
147 92 -89
148 70 -44
149 65 -48
150 69 -46
151 98 -95
152 10 48
153 48 5
154 18 38
155 38 18
156 16 40
157 9 49
158 109 -116
159 19 35
160 16 34
161 29 28
162 12 46
163 56 -13
164 75 -46
165 60 -16
166 60 -23
167 24 32
168 15 43
169 21 35
